# Attach there is a file with the values of the sky in mag/arcsec^2, 
# the FWHM (arcsec) of the moffat PSF and the beta value for the three bands. The
# order of the band is always g,r,i. The SDSS plate scale is 0.396127 ASEC/PIX
#
#galaxy	       skyg            skyr            skyi           fwhmg        fwhmr        fwhmi        betag        betar        betai
UGC04132       21.831618       20.971624       20.529297      1.20542      1.15949     0.960696      5.33200      4.36400      4.36400
UGC04145       22.059212       20.981941       20.290544      1.31472      1.18800      1.06920      4.10000      3.40000      6.00000
NGC2513       22.181666       21.126767       20.369698      1.03356      1.01376     0.978120      5.06000      7.73000      5.04000
NGC2513       22.181666       21.126767       20.369698      1.03356      1.01376     0.978120      5.06000      7.73000      5.04000
UGC04195       22.259570       20.996810       20.137663      1.02960     0.990000     0.863280      7.00000      4.30000      4.50000
NGC2530       21.600107       20.450588       19.743805      1.18404      1.10880     0.962280      4.50000      10.7400      14.2000
NGC2540       21.811477       20.589962       19.784827      1.40184      1.01772     0.922680      4.40000      5.70000      4.60000
NGC2543       21.824393       20.986896       20.573473      1.24661      1.12306     0.927432      5.17400      2.79800      8.18600
UGC04308       21.998777       21.166530       20.440872      1.42560      1.34640      1.22760      4.10000      4.80000      3.90000
NGC2553       21.779005       20.968391       20.478754      1.36303      1.14048      1.06128      3.67000      3.42000      4.15200
UGC04262       22.167002       20.880484       20.013709      1.35274      1.19434      1.25928      3.73800      3.30000      3.06600
NGC2558       21.850241       20.925732       20.424983      1.06762     0.980496     0.836352      4.83200      6.69400      5.64800
NGC2565       21.997973       21.163918       20.418471      1.56103      1.33690      1.29967      4.22800      3.84000      3.38000
NGC2572       21.609707       20.453326       19.776145      1.09296      1.02960     0.871200      6.10000      6.00000      4.50000
UGC04375       22.005448       21.156753       20.403690      1.44540      1.38758      1.16622      4.21400      3.66200      3.69400
IC2341       21.783243       20.920965       20.459599      1.77804      1.31076      1.32264      3.66000      3.66000      3.06000
NGC2592       21.944902       21.062453       20.360803      1.13256     0.970200     0.978120      4.70000      2.30000      5.65000
NGC2596       22.010892       20.938835       20.254632      1.11038     0.944856     0.897336      5.55600      3.14600      4.46200
NGC2595       21.793445       20.962021       20.453005      1.50480      1.60380      1.62360      4.20000      4.40000      4.00000
UGC04461       21.678732       20.737175       20.198280      1.30680      1.22918      1.15315      5.07600      6.76600      5.01200
NGC2604       21.962572       20.984779       20.353299      1.62756      1.19592      1.11672      3.72000      2.61000      2.81000
NGC2639       21.788972       20.851958       20.314323      1.22760      1.22760      1.14840      2.90000      2.90000      6.40000
NGC2730       21.963016       21.107865       20.346186      1.31868      1.21176      1.02960      3.90000      4.60000      4.80000
NGC2805       21.917394       20.532293       19.799294      1.12860     0.902880     0.934560      5.30000      5.00000      4.80000
NGC2880      -2.3887026      -3.3817685      -3.6761897      1.27512      1.09296      1.07316      4.24000      3.39000      3.74000
NGC2906       21.939215       21.094868       20.438992      1.23156      1.12702      1.13494      2.96400      3.56800      4.33400
NGC2916       21.990386       20.927122       19.812031      1.01614     0.910008     0.850608      6.49800      4.79800      5.07000
UGC05108       21.805432       20.895396       20.512895      1.18800      1.01772      1.00980      4.81000      5.06000      4.57000
NGC2918       22.105586       21.183811       20.371969      1.49292      1.24740      1.14444      3.43000      6.19000      4.03000
UGC05358       22.060659       21.071118       20.256074      1.54044      1.35828      1.36224      4.03000      4.34000      5.50000
UGC05359       22.013840       21.114286       20.511918      1.18008      1.00980      1.10880      4.10000      4.10000      5.20000
UGC05396       21.955416       21.125675       20.456399      1.05336      1.14840      1.08900      3.90000      4.20000      4.10000
NGC3106       21.968612       20.735238       19.858792      1.90080      1.50480      1.38600      4.50000      8.10000      2.60000
NGC3057       21.993154       20.844932       20.053117      1.75824      1.72062      1.43946      4.96500      6.45700      4.25500
NGC3158       21.380762       21.141621       20.328078      1.41372      1.45332      1.25532      2.38000      4.43000      2.64000
UGC05520       21.665394       20.711521       20.049414      1.34640      1.38600      1.34640      7.90000      5.80000      7.10000
NGC3182       22.102006       20.961762       20.031499      1.49292      1.39788      1.30680      3.90000      4.84000      4.63000
NGC3300       22.043296       21.012697       20.096896     0.926640      1.01376      1.04940      3.35000      4.45000      6.26000
UGC05771       21.944434       20.695950       19.989025      1.34640      1.27512      1.21968      3.10000      2.80000      3.70000
NGC3381       22.061091       21.085608       20.464243      1.29492      1.22760      1.00584      4.67000      6.20000      2.54000
IC0674       22.130736       21.216607       20.681515      1.19592      1.09692      1.01376      5.00000      4.50000      7.30000
UGC06312       21.714068       20.889643       20.386390      1.18404     0.986040     0.986040      5.40000      5.30000      6.20000
NGC3615       22.092843       20.982282       20.176760      1.20384      1.18404      1.02168      4.16000      6.07000      4.43000
NGC3615       22.092843       20.982282       20.176760      1.20384      1.18404      1.02168      4.16000      6.07000      4.43000
NGC3614       22.111027       21.161798       20.400304      1.18958      1.32502      1.10167      3.82400      4.57200      4.70600
NGC3687       22.225875       20.925627       19.870767      1.15870     0.868032     0.871992      6.29600      4.16600      6.24400
NGC3811       22.139582       21.169634       20.347235      1.23314      1.15315      1.10167      4.31600      3.04600      3.63200
NGC3815       22.136290       21.049044       20.264236      1.10880     0.910800     0.792000      6.50000      5.50000      6.70000
NGC3994       22.077627       21.112733       20.566791      1.32264      1.12860     0.990000      4.08000      5.03000      5.30000
NGC4003       22.028972       21.018509       20.391041     0.993960      1.12068      1.06524      2.39000      2.02000      6.40000
UGC07012       22.252230       21.104975       20.553759      1.27908     0.938520      1.16028      2.08000      4.53000      4.44000
NGC4047       21.969145       20.731660       20.012835     0.940896      1.17295     0.822888      4.09000      5.01000      3.60000
UGC07145       22.119087       21.137100       20.462574      1.22760      1.16820      1.03356      4.30000      4.20000      3.60000
NGC4185       22.246600       21.108784       20.314506      1.21889      1.16266      1.08108      4.63200      2.73600      3.76000
NGC4210       22.104317       21.085299       20.283544      1.37174      1.27108      1.17533      4.27600      4.90800      4.42800
IC0776       21.913916       21.061114       20.507929      1.58796      1.16820      1.16028      2.62000      3.30000      4.44000
NGC4470       21.658936       20.722211       20.141067      1.18800      1.18800      1.04148      4.70000      5.30000      4.25000
