# name                    u        g_2      r        i        z       
  NGC5480                 14.137   12.82    12.266   12.034   11.989  
  NGC5485                 14.461   12.412   11.643   11.164   10.957  
  UGC09067                15.522   14.26    13.695   13.401   13.203  
  NGC5520                 15.044   13.31    12.762   12.488   12.347  
  NGC5513                 15.162   13.168   12.382   11.977   11.792  
  UGC09110                15.314   13.928   13.463   13.163   13.126  
  NGC5519                 15.955   14.357   13.707   13.378   13.204  
  NGC5522                 15.408   13.728   13.049   12.649   12.395  
  NGC5533                 14.806   12.906   12.044   11.618   11.457  
  NGC5546                 15.382   13.411   12.523   12.087   11.832  
  IC0994                  16.127   14.189   13.365   12.937   12.705  
  NGC5557                 14.04    12.175   11.476   10.93    10.724  
  NGC5559                 16.369   14.299   13.534   13.121   12.913  
  NGC5580                 15.199   13.314   12.531   12.103   11.882  
  NGC5587                 15.304   13.416   12.663   12.247   12.03   
  NGC5602                 15.267   13.379   12.603   12.164   11.983  
  NGC5598                 15.689   13.752   12.956   12.562   12.307  
  NGC5610                 15.313   13.57    12.951   12.596   12.433  
  NGC5622                 15.41    13.882   13.316   13.027   13.037  
  NGC5631                 14.277   12.307   11.554   11.126   10.928  
  NGC5623                 15.152   13.186   12.398   11.982   11.78   
  NGC5633                 14.177   12.902   12.339   12.045   11.916  
  NGC5630                 14.705   13.55    13.195   13.053   13.086  
  NGC5635                 15.507   13.212   12.294   11.854   11.578  
  UGC09291                15.635   13.842   13.328   13.161   13.327  
  NGC5656                 14.215   12.793   12.191   11.88    11.701  
  NGC5657                 15.741   14.084   13.393   13.062   12.859  
  NGC5659                 15.982   14.157   13.422   13.019   12.884  
  NGC5665                 13.939   12.633   12.115   11.87    11.828  
  NGC5682                 15.803   14.505   14.054   13.884   14.017  
  NGC5687                 14.909   12.946   12.199   11.742   11.536  
  NGC5684                 15.763   13.572   12.763   12.343   12.164  
  UGC09401                15.742   13.854   13.025   12.611   12.337  
  NGC5720                 15.808   14.034   13.368   13.02    12.871  
  NGC5732                 15.545   14.073   13.6     13.364   13.397  
  UGC09476                15.199   13.63    13.064   12.805   12.876  
  NGC5735                 15.527   13.724   13.059   12.81    12.87   
  UGC09492                16.221   14.274   13.439   13.022   12.825  
  UGC09518                15.811   13.957   13.134   12.72    12.452  
  UGC09542                16.306   14.565   13.926   13.622   13.554  
  NGC5772                 15.027   13.283   12.552   12.178   12.0    
  NGC5784                 15.411   13.292   12.515   12.079   11.816  
  UGC09598                16.403   14.316   13.655   13.298   13.268  
  UGC09629                16.308   14.329   13.513   13.096   12.858  
  NGC5829                 16.101   14.222   13.693   13.554   13.551  
  IC4534                  16.029   13.961   13.1     12.68    12.486  
  NGC5876                 15.281   13.307   12.488   12.075   11.896  
  NGC5888                 15.889   13.795   13.02    12.63    12.457  
  UGC09777                16.294   14.556   13.895   13.56    13.289  
  UGC09842                16.473   14.88    14.21    13.84    13.628  
  NGC5928                 15.406   13.423   12.582   12.156   11.919  
  NGC5957                 15.226   13.173   12.491   12.077   12.284  
  NGC5971                 15.903   14.277   13.622   13.292   13.194  
  IC4566                  16.067   13.91    13.119   12.728   12.691  
  NGC5980                 14.925   13.247   12.543   12.167   11.98   
  NGC6004                 16.205   13.378   12.653   12.388   12.704  
  UGC10097                15.449   13.464   12.588   12.133   11.855  
  NGC6020                 15.959   13.709   12.818   12.38    12.218  
  NGC6021                 15.904   13.815   12.987   12.555   12.295  
  IC1151                  15.105   13.544   13.093   12.873   12.828  
  NGC6032                 16.648   14.259   13.441   13.085   12.987  
  NGC6060                 15.507   13.383   12.581   12.18    12.121  
  NGC6063                 15.624   13.748   13.159   12.875   12.917  
  IC1199                  15.668   13.997   13.315   12.949   12.68   
  NGC6125                 14.939   12.991   12.169   11.736   11.517  
  UGC10337                16.499   14.613   13.819   13.409   13.154  
  NGC6132                 15.862   14.355   13.792   13.5     13.429  
  NGC6146                 15.297   13.352   12.552   12.113   11.884  
  NGC6154                 15.869   13.818   13.084   12.719   12.808  
  NGC6150                 16.063   14.035   13.186   12.756   12.508  
  NGC6155                 14.567   13.148   12.604   12.33    12.27   
  UGC10388                16.199   14.304   13.527   13.137   12.893  
  NGC6173                 15.29    13.228   12.369   11.952   11.787  
  NGC6186                 15.399   13.409   12.631   12.208   12.139  
  NGC6278                 15.306   13.077   12.197   11.734   11.468  
  UGC10693                15.735   13.591   12.745   12.342   12.186  
  UGC10695                16.092   14.151   13.309   12.882   12.71   
  NGC6301                 15.634   14.085   13.41    12.987   12.878  
  NGC6314                 15.656   13.796   12.996   12.564   12.323  
  UGC10796                16.063   14.644   14.263   14.124   14.562  
  UGC10811                16.34    14.606   13.857   13.447   13.247  
  IC1256                  15.714   14.057   13.39    13.122   12.96   
  NGC6394                 16.424   14.604   13.828   13.422   13.232  
  UGC10905                16.02    13.985   13.068   12.596   12.335  
  NGC6411                 15.353   12.987   12.124   11.663   11.621  
  NGC6427                 15.427   13.592   12.788   12.353   12.0    
  NGC6478                 15.901   14.259   13.5     13.087   13.047  
  NGC6497                 16.188   13.796   13.029   12.605   12.423  
  NGC6515                 15.744   13.719   12.899   12.476   12.287  
  UGC11228                16.078   14.038   13.209   12.675   12.453  
  UGC11262                16.981   15.157   14.633   14.396   14.649  
  NGC6762                 15.901   14.084   13.254   12.828   12.569  
  NGC6941                 15.805   13.677   12.897   12.547   12.581  
  NGC6945                 15.29    13.218   12.398   12.003   11.764  
  NGC6978                 15.834   13.794   12.98    12.537   12.333  
  UGC11649                16.303   14.009   13.146   12.734   12.618  
  NGC7047                 16.275   14.003   13.204   12.855   12.802  
  UGC11740                16.6     14.699   14.047   13.701   13.502  
  NGC7194                 15.898   13.873   12.971   12.512   12.232  
  NGC7311                 15.053   13.064   12.149   11.729   11.43   
  NGC7321                 15.526   13.629   12.937   12.559   12.416  
  UGC12127                16.437   13.879   12.942   12.521   12.303  
  NGC7364                 15.18    13.438   12.668   12.275   12.081  
  UGC12185                16.379   14.35    13.63    13.239   13.085  
  UGC12224                16.228   14.329   13.505   13.367   13.693  
  UGC12274                17.139   14.683   13.701   13.206   12.949  
  NGC7466                 16.118   14.287   13.593   13.198   13.001  
  UGC12348                17.24    14.251   13.467   13.146   13.385  
  NGC7489                 16.143   14.408   13.732   13.325   13.088  
  NGC7536                 15.47    13.881   13.255   12.941   12.818  
  NGC7550                 15.386   13.221   12.257   11.762   11.483  
  NGC7549                 16.156   14.141   13.343   12.937   12.742  
  NGC7563                 15.727   13.507   12.599   12.193   11.908  
